"姓名" "年龄" "身高" "体重" "俱乐部" "位置" "惯用脚" "逆足能力" "花式技巧" "国际声誉" "传中" "射术" "头球精度" "短传" "凌空" "盘带" "弧线" "任意球精度" "长传" "控球" "加速" "速度" "敏捷" "移动反应" "平衡" "射门力量" "弹跳" "体能" "强壮" "远射" "侵略性" "拦截意识" "跑位" "视野" "点球" "沉着" "盯人" "抢断" "铲球" "鱼跃" "手形" "开球" "站位" "守门反应" "联赛" "球队位置" "综合能力"
"Daniel Parejo Muñoz" 26 180.34 165 "瓦伦西亚" "右中中场" "右脚" 4 3 2 85 75 63 91 72 79 85 84 86 86 61 55 74 74 69 78 57 80 73 81 72 72 79 87 83 69 52 55 51 5 9 12 14 8 "其他" "中场" 81
"Iker Casillas Fernández" 34 185.42 185 "西班牙" "守门员" "左脚" 2 1 4 13 12 25 21 14 25 25 13 22 23 65 63 62 78 46 28 77 43 70 13 23 22 16 65 24 70 11 11 13 86 75 67 79 86 "其他" "守门员" 82
"César Azpilicueta Tanco" 25 177.8 165 "切尔西" "左后卫" "右脚" 3 3 2 78 46 69 80 54 70 66 58 74 77 79 79 75 87 73 68 74 86 72 60 76 81 64 68 66 66 86 87 86 13 9 10 6 5 "英超" "后场" 83
"Manuel Agudo Durán" 28 175.26 159 "塞尔塔" "左边锋" "右脚" 3 4 2 81 82 45 80 65 85 83 80 67 83 79 76 84 84 81 74 63 74 62 81 73 58 82 81 74 82 30 39 25 10 15 12 8 8 "西甲" "前场" 81
"Daniel Carvajal Ramos" 23 172.72 161 "皇家马德里" "右后卫" "右脚" 3 2 2 80 41 63 79 34 76 72 47 71 82 79 86 83 81 82 62 76 86 75 36 83 82 61 57 45 69 85 82 84 13 13 15 9 15 "西甲" "后场" 84
"Borja Valero Iglesias" 30 175.26 161 "佛罗伦萨" "左前锋" "右脚" 4 3 2 78 69 61 88 70 82 78 76 86 88 74 68 79 84 82 72 68 76 66 72 53 70 76 87 72 80 58 66 62 5 4 10 8 7 "意甲" "前场" 83
"Aritz Aduriz Zubeldia" 34 182.88 172 "毕尔巴鄂竞技" "中锋" "右脚" 3 3 2 55 86 95 69 82 73 62 55 47 78 72 74 54 85 58 81 93 72 82 77 83 24 87 74 76 87 47 45 50 14 10 9 15 9 "西甲" "前场" 84
"Álvaro Negredo Sánchez" 29 185.42 190 "瓦伦西亚" "主力替补" "左脚" 3 3 3 53 82 82 76 82 73 68 69 66 81 67 68 68 79 55 84 76 72 88 77 80 32 82 68 80 69 36 34 32 11 6 11 7 13 "其他" "替补" 80
"Gabriel Fernández Arenas" 31 180.34 163 "马德里竞技" "右中中场" "右脚" 3 2 3 67 67 51 85 64 73 86 75 84 78 66 66 73 80 74 81 60 81 68 75 76 82 72 79 83 83 69 77 74 6 12 10 5 10 "西甲" "中场" 82
"David Villa Sánchez" 33 175.26 152 "纽约城FC" "中锋" "右脚" 5 4 3 71 86 66 74 78 82 83 80 67 85 75 72 76 82 75 80 67 73 66 76 67 29 86 71 88 83 22 28 38 8 9 9 11 9 "其他" "前场" 82
"Víctor Machín Pérez" 25 182.88 174 "塞维利亚" "右中场" "右脚" 4 3 2 81 79 65 80 55 85 71 62 77 83 79 81 73 79 64 70 59 73 76 73 62 25 81 78 74 70 25 21 23 11 16 8 14 16 "西甲" "中场" 83
"Raúl Albiol Tortajada" 29 190.5 181 "那不勒斯" "右中后卫" "右脚" 3 2 2 38 27 77 71 31 54 53 45 65 67 60 62 55 78 56 65 77 62 82 53 79 83 30 49 37 73 85 85 83 8 6 5 9 8 "意甲" "后场" 82
"José Manuel Reina Páez" 32 187.96 203 "那不勒斯" "守门员" "右脚" 3 1 2 11 14 13 19 11 10 11 11 22 23 50 63 50 83 60 24 73 34 72 15 32 22 13 65 24 60 12 22 24 80 76 82 85 84 "意甲" "守门员" 83
"Bruno Soriano Llido" 31 182.88 161 "比利亚雷亚尔" "左中中场" "左脚" 3 3 2 58 66 61 86 48 74 72 77 84 82 52 55 53 84 59 84 66 75 77 81 79 85 69 81 75 86 70 84 85 13 10 9 11 8 "西甲" "中场" 84
"Raúl García Escudero" 28 182.88 179 "毕尔巴鄂竞技" "前腰" "右脚" 3 3 2 81 78 88 87 55 79 74 68 85 85 68 65 64 87 63 86 73 78 81 75 83 65 85 82 76 83 54 71 63 14 16 14 16 15 "西甲" "中场" 81
"Sergio Asenjo Andrés" 26 187.96 192 "比利亚雷亚尔" "守门员" "右脚" 3 1 2 24 14 13 39 22 15 23 22 39 14 59 54 62 75 58 24 71 43 71 23 20 22 12 46 15 39 12 15 14 85 79 78 81 84 "西甲" "守门员" 84
"Juan Francisco Torres Belén" 30 180.34 159 "马德里竞技" "右后卫" "右脚" 3 3 3 83 56 53 73 49 77 80 59 66 79 79 89 76 82 62 68 68 91 74 55 78 77 68 72 66 64 80 83 77 11 14 10 15 7 "西甲" "后场" 83
"Víctor Valdés Arribas" 33 182.88 172 "曼彻斯特联" "主力替补" "右脚" 3 1 3 10 12 11 27 10 12 11 12 36 27 60 55 58 75 53 29 80 34 71 10 36 21 12 38 26 70 10 12 10 81 78 77 84 82 "英超" "替补" 82
"Vicente Iborra de la Fuente" 27 195.58 194 "塞维利亚" "主力替补" "右脚" 4 2 2 53 72 81 81 66 67 66 70 82 80 58 57 55 75 38 85 68 82 86 64 78 85 82 74 72 73 85 84 75 14 11 6 15 8 "西甲" "替补" 82
"Ander Iturraspe Derteano" 26 187.96 165 "毕尔巴鄂竞技" "主力替补" "右脚" 3 2 2 57 58 79 86 47 68 69 67 83 79 63 65 54 82 45 67 54 81 80 67 66 84 68 80 59 65 73 84 79 7 12 8 7 9 "西甲" "替补" 81
"José María Callejón Bueno" 28 177.8 161 "那不勒斯" "右边锋" "右脚" 2 3 3 75 74 65 75 80 82 65 65 51 84 89 90 83 76 81 78 73 83 55 80 54 40 84 74 62 79 24 32 34 8 5 14 11 11 "意甲" "前场" 83
"Ander Herrera Agüera" 25 182.88 161 "曼彻斯特联" "主力替补" "右脚" 4 4 2 74 71 58 88 67 83 76 65 80 87 78 72 84 81 81 70 63 78 62 74 82 70 80 85 79 82 60 64 64 9 12 15 9 8 "英超" "替补" 84
"Francisco Alcácer García" 21 175.26 157 "瓦伦西亚" "中锋" "右脚" 4 3 2 53 84 78 72 85 72 66 59 51 81 76 76 78 86 80 83 75 74 69 68 59 26 87 63 71 66 26 21 26 12 14 14 8 5 "其他" "前场" 79
"Jesé Rodríguez Ruíz" 22 177.8 161 "皇家马德里" "主力替补" "右脚" 4 4 1 72 78 42 77 55 85 74 66 64 86 90 85 87 71 77 76 74 69 63 74 29 33 76 70 68 66 16 23 12 13 7 6 13 15 "西甲" "替补" 79
"Mario Gaspar Pérez Martínez" 24 177.8 154 "比利亚雷亚尔" "右后卫" "右脚" 3 2 1 79 70 64 74 80 73 75 54 69 77 81 82 70 78 60 81 69 88 79 69 77 80 64 57 50 61 83 80 82 9 12 8 9 15 "西甲" "后场" 81
"Javier Fuego Martínez" 31 182.88 163 "瓦伦西亚" "后腰" "右脚" 3 3 1 61 54 60 77 53 62 70 62 75 74 68 63 67 84 60 72 70 86 77 64 85 85 59 69 60 86 75 84 82 7 13 14 10 14 "其他" "中场" 79
"Jorge Andújar Moreno" 28 175.26 159 "塞维利亚" "右后卫" "右脚" 4 2 2 80 62 83 77 43 72 70 36 66 79 75 77 76 86 59 70 74 82 69 60 74 77 62 60 74 61 77 82 80 10 9 13 6 16 "西甲" "后场" 80
"Mikel San José Domínguez" 26 185.42 170 "毕尔巴鄂竞技" "右中中场" "右脚" 3 2 1 48 59 85 84 69 62 32 45 80 74 48 56 46 82 55 71 78 67 83 72 74 84 54 59 52 57 73 84 75 10 6 10 8 16 "西甲" "中场" 81
"Fernando Javier Llorente Torres" 30 195.58 198 "塞维利亚" "主力替补" "右脚" 3 2 3 44 82 90 69 80 69 60 40 49 79 52 62 45 80 33 79 54 65 91 64 71 25 85 70 70 84 15 25 15 2 2 3 4 2 "西甲" "替补" 79
"Miguel Ángel Moyá Rumbo" 31 187.96 181 "马德里竞技" "主力替补" "右脚" 2 1 2 11 11 12 31 13 13 16 12 35 24 46 34 54 75 49 21 62 30 57 16 22 11 10 62 11 39 13 14 14 85 78 82 81 80 "西甲" "替补" 81
"Ignacio Camacho Barnola" 25 182.88 165 "马拉加" "右后腰" "右脚" 3 2 2 50 58 83 81 52 64 62 59 74 75 68 63 72 84 64 76 85 89 78 54 86 85 66 80 48 72 75 82 74 9 13 15 8 10 "其他" "中场" 81
"Jesús Navas González" 29 170.18 132 "曼彻斯特城" "右中场" "右脚" 3 3 3 79 66 47 77 79 83 80 46 74 81 91 88 91 77 87 75 62 79 34 74 50 33 74 76 56 70 27 20 26 10 10 15 7 13 "英超" "中场" 79
"Roberto Jiménez Gago" 29 193.04 190 "奥林匹亚科斯" "守门员" "右脚" 2 1 1 15 14 19 39 13 12 14 14 38 31 45 48 68 81 40 36 74 32 79 11 29 24 17 45 19 59 15 15 18 83 71 73 79 86 "其他" "守门员" 79
"Iker Muniain Goñi" 22 170.18 139 "毕尔巴鄂竞技" "左边锋" "右脚" 3 4 2 75 75 44 74 64 83 79 70 66 82 88 82 90 85 95 61 73 51 47 73 67 45 81 72 62 76 34 55 35 10 5 5 13 12 "西甲" "前场" 78
"Víctor Ruíz Torre" 26 185.42 172 "比利亚雷亚尔" "左中后卫" "左脚" 2 2 1 54 37 77 75 39 53 67 46 70 71 63 66 57 77 58 59 78 77 84 38 80 83 39 56 46 66 79 84 82 12 8 6 6 14 "西甲" "后场" 82
"Beñat Etxebarria Urkiaga" 28 175.26 159 "毕尔巴鄂竞技" "左中中场" "右脚" 3 2 2 82 69 48 85 62 73 83 86 86 79 68 59 72 80 75 88 59 78 71 82 80 70 78 84 69 73 60 76 66 16 10 14 6 13 "西甲" "中场" 82
"Álvaro Borja Morata Martín" 22 187.96 187 "尤文图斯" "主力替补" "右脚" 4 3 2 67 82 70 71 76 84 75 43 51 85 83 87 75 78 65 79 75 75 78 77 56 21 85 70 74 78 15 19 15 9 4 12 6 12 "意甲" "替补" 82
"Ignacio Monreal Eraso" 29 177.8 159 "阿森纳" "左后卫" "左脚" 3 2 2 81 39 67 77 56 74 74 59 61 77 79 75 75 79 70 71 75 85 66 61 74 82 61 66 61 79 83 84 82 7 5 9 3 5 "英超" "后场" 80
"Óscar de Marcos Arana" 26 180.34 168 "毕尔巴鄂竞技" "右后卫" "右脚" 3 3 2 79 59 59 77 57 76 78 53 69 81 85 92 78 85 76 74 81 93 74 56 76 80 80 66 56 76 66 80 80 8 6 13 15 9 "西甲" "后场" 81
"Manuel Trigueros Muñoz" 23 177.8 154 "比利亚雷亚尔" "右中中场" "右脚" 4 3 1 69 66 76 84 74 76 75 72 80 80 75 72 79 80 73 81 83 84 64 77 68 69 80 83 65 73 53 74 58 9 14 12 7 8 "西甲" "中场" 82
"Francisco Javier García Fernández" 28 185.42 176 "圣彼得堡泽尼特" "左后腰" "右脚" 3 2 2 69 60 86 82 59 66 68 63 76 74 61 65 62 79 55 82 90 77 89 74 89 85 63 73 61 80 77 79 74 14 6 8 14 16 "其他" "中场" 78
"José Luís Gayà Peña" 20 172.72 141 "瓦伦西亚" "主力替补" "左脚" 3 2 2 84 56 60 78 59 77 80 49 81 76 85 90 83 78 85 58 75 82 62 59 74 76 72 70 52 70 77 79 82 13 10 9 12 9 "其他" "替补" 79
"Francisco Casilla Cortés" 28 190.5 185 "皇家马德里" "主力替补" "右脚" 2 1 2 24 14 13 30 23 12 25 25 24 20 32 49 43 72 58 24 69 43 79 13 45 20 12 52 23 51 12 15 11 82 81 80 82 81 "西甲" "替补" 80
"Gerard Deulofeu Lázaro" 21 177.8 161 "埃弗顿" "主力替补" "右脚" 4 4 1 79 74 40 73 55 89 84 75 60 86 89 92 93 77 77 64 72 76 59 65 40 22 78 69 70 72 20 30 22 12 16 14 11 11 "英超" "替补" 81
"Íñigo Martínez Berridi" 24 180.34 170 "皇家社会" "左中后卫" "左脚" 2 2 2 51 42 76 69 37 53 72 51 75 67 73 75 67 75 64 81 89 76 78 74 86 83 48 46 39 61 84 82 83 12 16 11 13 11 "西甲" "后场" 81
"Marc Bartra Aregall" 24 182.88 163 "巴塞罗那" "主力替补" "右脚" 3 2 1 50 43 77 79 43 62 56 45 73 78 71 70 67 76 69 58 87 64 73 36 63 83 58 43 52 73 83 87 82 10 15 13 12 8 "西甲" "替补" 81
"Juan Bernat Velasco" 22 170.18 148 "拜仁慕尼黑" "主力替补" "左脚" 3 3 2 82 57 53 81 59 81 76 51 72 83 85 78 84 78 88 63 73 79 57 62 74 77 74 70 53 70 82 82 81 8 9 12 11 16 "德甲" "替补" 79
"Mikel Balenziaga Oruesagasti" 27 177.8 168 "毕尔巴鄂竞技" "左后卫" "左脚" 4 2 1 82 42 67 75 48 74 77 32 74 79 79 79 72 73 71 57 81 90 73 53 78 79 55 63 45 63 79 82 80 15 10 7 6 11 "西甲" "后场" 79
"Saúl Ñíguez Esclápez" 20 180.34 154 "马德里竞技" "主力替补" "左脚" 3 2 1 68 67 83 85 30 76 63 60 78 82 76 74 75 82 68 74 80 83 76 62 66 76 74 73 54 80 69 81 77 7 13 12 10 9 "西甲" "替补" 80
"Diego López Rodríguez" 33 195.58 192 "AC米兰" "替补" "右脚" 3 1 3 11 12 10 28 14 11 10 11 23 23 34 52 48 74 47 22 68 42 66 11 36 16 11 53 21 69 14 13 14 80 76 72 82 78 "意甲" "替补" 82
"Roberto Soldado Rillo" 30 180.34 163 "比利亚雷亚尔" "右中锋" "右脚" 3 3 3 74 79 80 78 82 74 75 65 58 79 67 68 69 81 64 83 82 67 71 74 73 41 83 78 80 79 33 41 38 13 13 14 9 6 "西甲" "前场" 78
"Gorka Iraizoz Moreno" 34 190.5 196 "毕尔巴鄂竞技" "守门员" "右脚" 3 1 2 11 12 13 29 16 11 12 13 20 15 32 33 28 81 52 20 47 33 83 14 38 23 16 53 13 54 13 11 12 71 82 80 84 76 "西甲" "守门员" 77
"Sergio Canales Madrazo" 24 177.8 143 "皇家社会" "左边锋" "左脚" 3 4 2 74 77 38 86 64 81 81 78 73 82 72 70 82 66 70 68 44 67 66 76 55 46 77 83 66 51 14 23 16 15 12 16 13 12 "西甲" "前场" 79
"Asier Illarramendi Andonegi" 25 177.8 168 "皇家社会" "右中中场" "右脚" 3 3 2 65 54 51 82 58 77 78 68 80 81 68 62 70 78 75 69 54 77 67 62 69 79 79 80 50 61 64 79 74 15 7 11 14 12 "西甲" "中场" 79
"Joaquín Sánchez Rodríguez" 33 177.8 165 "皇家贝蒂斯" "右中场" "右脚" 3 3 2 87 69 56 80 68 85 89 77 79 83 76 79 77 71 77 74 59 67 60 77 53 35 77 81 75 80 29 41 39 9 14 6 10 11 "西甲" "中场" 78
"Denis Suárez Fernández" 21 180.34 159 "比利亚雷亚尔" "左中场" "右脚" 3 3 1 74 69 44 84 68 84 82 72 72 85 79 80 81 75 77 75 58 72 55 73 47 48 72 83 63 65 37 46 42 10 14 10 7 7 "西甲" "中场" 80
"Lucas Pérez Martínez" 26 180.34 172 "拉科鲁尼亚" "中锋" "左脚" 3 4 1 71 82 68 77 77 81 81 78 70 82 76 78 74 81 76 80 63 75 71 79 69 38 81 76 77 76 24 24 26 14 8 8 10 10 "其他" "前场" 81
"Roberto Trashorras Gayoso" 34 177.8 157 "巴列卡诺" "左后腰" "右脚" 3 3 1 78 62 49 87 57 74 84 85 88 80 47 33 49 80 63 74 33 70 71 77 81 80 64 85 71 66 72 75 69 14 13 16 6 16 "西甲" "中场" 75
"Rubén Castro Martín" 34 175.26 159 "皇家贝蒂斯" "左中锋" "右脚" 3 3 1 60 84 73 69 72 83 72 69 45 79 82 79 87 87 79 77 78 81 61 74 50 37 86 74 76 70 11 12 14 14 8 15 8 12 "西甲" "前场" 81
"Fernando José Torres Sanz" 31 185.42 172 "马德里竞技" "左中锋" "右脚" 4 3 3 68 77 75 77 81 82 80 63 51 80 77 79 74 73 54 83 75 63 76 73 62 20 82 76 73 69 17 22 18 14 13 8 9 10 "西甲" "前场" 81
"José Antonio Reyes Calderón" 31 175.26 159 "塞维利亚" "主力替补" "左脚" 3 4 3 82 70 55 81 69 86 85 77 79 85 77 66 74 75 76 72 53 59 58 79 51 23 69 77 72 70 24 27 23 15 10 8 13 16 "西甲" "替补" 78
"Aleix Vidal Parreu" 25 177.8 152 "巴塞罗那" "主力替补" "右脚" 4 3 2 75 67 58 78 48 84 69 46 64 82 89 93 79 78 79 84 82 90 68 61 82 73 73 72 51 71 68 69 70 8 7 8 12 12 "西甲" "替补" 76
"Mario Suárez Mata" 28 187.96 176 "沃特福德" "主力替补" "右脚" 3 3 2 66 64 69 84 43 76 67 72 80 79 60 65 52 78 60 80 58 78 77 70 76 80 74 78 69 74 68 76 74 9 13 16 12 11 "英超" "替补" 77
"Pedro León Sánchez Gil" 28 182.88 161 "赫塔菲" "右中场" "右脚" 3 3 2 89 72 46 85 68 82 87 80 85 80 67 69 68 73 74 80 33 62 59 75 55 43 71 81 71 53 34 44 42 11 12 10 15 16 "西甲" "中场" 78
"Jesús Gámez Duarte" 30 182.88 170 "马德里竞技" "主力替补" "右脚" 3 2 2 80 37 63 64 44 63 65 51 66 74 64 76 58 74 57 84 77 83 82 51 86 82 47 49 53 74 81 85 84 9 11 9 15 11 "西甲" "替补" 76
"Iago Falqué Silva" 25 175.26 152 "罗马" "主力替补" "左脚" 3 4 1 78 73 43 76 64 82 77 66 67 83 81 79 85 75 82 57 41 73 52 73 48 26 76 72 68 78 35 33 31 15 5 14 13 7 "其他" "替补" 80
"Martín Montoya Torralbo" 24 175.26 159 "皇家贝蒂斯" "右后卫" "右脚" 4 2 1 76 24 60 78 66 73 77 55 75 78 84 87 79 75 83 83 78 88 69 69 79 77 63 59 50 53 76 77 80 6 15 16 8 8 "西甲" "后场" 77
"Adrián San Miguel del Castillo" 28 187.96 170 "西汉姆联" "守门员" "右脚" 2 1 2 12 16 15 21 12 15 12 17 32 23 46 44 47 75 48 40 69 38 74 20 38 25 12 32 44 36 14 19 14 80 75 71 75 86 "英超" "守门员" 79
"José Raúl Baena Urdiales" 26 180.34 179 "巴列卡诺" "右后腰" "右脚" 3 2 1 58 47 61 81 48 61 62 58 70 70 64 42 60 83 61 69 75 75 78 57 91 86 53 61 56 70 74 82 74 15 10 13 8 14 "西甲" "中场" 71
"Iago Aspas Juncal" 27 175.26 148 "塞尔塔" "中锋" "左脚" 3 3 1 70 78 74 71 82 84 84 76 65 82 86 77 91 85 77 75 68 67 55 77 63 36 82 72 74 69 20 21 18 12 16 9 12 13 "西甲" "前场" 83
"Cristian Tello Herrera" 23 177.8 143 "佛罗伦萨" "主力替补" "右脚" 3 3 1 74 69 47 74 63 83 72 64 64 82 94 91 84 75 76 77 72 76 56 69 48 26 74 70 56 66 19 23 19 15 12 9 7 13 "意甲" "替补" 77
"Óliver Torres Muñoz" 20 175.26 139 "马德里竞技" "主力替补" "右脚" 4 4 1 61 71 53 84 53 85 77 64 73 83 77 70 86 81 83 51 62 68 34 69 58 65 78 84 65 73 43 66 62 7 7 14 6 8 "西甲" "替补" 79
"Sergio Roberto Carnicer" 23 177.8 157 "巴塞罗那" "主力替补" "右脚" 3 3 1 81 65 49 85 46 74 70 61 77 80 78 76 69 73 75 68 55 81 75 70 64 74 69 83 57 67 62 74 67 14 16 11 15 10 "西甲" "替补" 80
"Jaume Vicent Costa Jordá" 27 170.18 137 "比利亚雷亚尔" "左后卫" "左脚" 3 3 1 79 53 66 80 38 69 67 59 65 78 83 85 82 72 83 75 84 84 67 62 81 77 62 57 56 56 76 76 78 10 11 16 10 14 "西甲" "后场" 79
"Markel Susaeta Laskurain" 27 177.8 150 "毕尔巴鄂竞技" "主力替补" "右脚" 3 3 2 86 72 52 80 66 81 82 80 81 79 78 76 74 75 76 79 66 72 62 77 63 43 76 77 59 74 17 24 28 12 7 8 6 10 "西甲" "替补" 78
"Hugo Mallo Novegil" 24 172.72 152 "塞尔塔" "右后卫" "右脚" 3 2 1 84 28 63 74 28 69 78 38 68 79 77 78 78 78 67 74 82 79 69 39 76 80 46 64 23 65 75 78 82 14 9 7 9 15 "西甲" "后场" 80
"Rodrigo Moreno Machado" 24 180.34 170 "瓦伦西亚" "右边锋" "左脚" 3 4 2 72 76 69 75 73 80 76 67 58 80 84 86 79 78 69 77 74 74 71 74 67 31 78 71 82 69 26 28 29 7 13 10 11 5 "其他" "前场" 77
"Mikel Rico Moreno" 30 177.8 168 "毕尔巴鄂竞技" "主力替补" "右脚" 4 3 1 56 64 55 84 53 64 54 64 80 77 65 57 68 85 75 81 80 81 79 59 72 81 70 79 61 82 60 86 77 15 7 10 9 9 "西甲" "替补" 75
"Pedro Mosquera Parada" 27 182.88 170 "拉科鲁尼亚" "左后腰" "左脚" 3 2 1 61 60 65 84 51 65 79 70 83 81 68 54 69 77 60 61 68 71 68 64 70 76 75 80 51 71 64 76 67 10 15 8 14 10 "其他" "中场" 77
"Iván Marcano Sierra" 28 187.96 170 "波尔图" "左中后卫" "左脚" 3 2 1 66 45 80 73 35 61 53 42 69 67 67 71 57 72 56 70 73 70 76 49 78 83 43 58 35 68 83 81 77 8 16 7 14 16 "其他" "后场" 80
"Tomás Pina Isla" 27 185.42 172 "比利亚雷亚尔" "主力替补" "右脚" 3 3 1 52 52 67 83 59 74 64 60 79 84 62 64 69 79 60 73 68 74 78 64 89 82 70 81 59 59 61 77 69 8 12 11 7 15 "西甲" "替补" 75
"Lucas Vázquez Iglesias" 24 172.72 152 "皇家马德里" "主力替补" "右脚" 4 3 1 81 69 51 74 54 81 82 75 71 79 85 79 78 83 82 78 67 79 56 74 54 44 80 71 56 70 23 51 37 9 16 9 9 7 "西甲" "替补" 82
"Carlos Martínez Díaz" 29 187.96 174 "皇家社会" "主力替补" "右脚" 2 2 1 84 45 69 67 41 68 72 47 72 73 63 75 56 74 43 57 66 79 83 61 58 83 53 69 43 48 76 80 85 11 6 12 13 7 "西甲" "替补" 75
"Imanol Agirretxe Arruti" 28 187.96 170 "皇家社会" "主力替补" "右脚" 3 3 1 49 79 87 69 81 70 75 48 61 81 58 59 68 79 60 71 76 73 81 64 59 43 85 55 64 75 43 44 33 14 8 11 6 16 "西甲" "替补" 77
"Jonathan Viera Ramos" 25 170.18 141 "拉斯帕尔马斯" "左中中场" "右脚" 4 3 1 71 73 32 81 57 82 80 76 68 82 80 74 89 73 79 65 69 65 58 71 56 25 77 78 70 80 15 15 14 16 16 9 14 9 "其他" "中场" 82
"José Ignacio Fernández Iglesias" 25 177.8 165 "皇家马德里" "主力替补" "右脚" 4 2 1 70 22 75 70 28 55 55 37 61 68 76 75 57 72 67 54 81 73 77 28 72 79 37 53 45 65 76 80 81 12 7 10 15 7 "西甲" "替补" 80
"Pablo Sarabia García" 23 175.26 154 "赫塔菲" "左中场" "左脚" 4 4 1 75 71 61 78 49 84 79 73 71 80 76 78 78 74 82 67 54 62 56 70 32 25 75 77 61 51 26 27 28 16 7 15 6 14 "西甲" "中场" 80
